Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Stanborough, Rebecca J.",25 Women Who Ruled,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Women athletes,Women, biography,Women, biography, juvenile literature"
"Sherman, Jill",25 Women Who Thought of It First,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Women, biography,Women, biography, juvenile literature"
"Rapp, Adam",33 Snowfish,Banned from Libraries and Classrooms,,"Ering, Timothy Basil",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Rapp, Adam",33 Snowfish,Banned from Libraries and Classrooms,,"Ering, Timothy Basil",,Florida,Martin County Schools,March 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Rapp, Adam",33 Snowfish,Banned in Libraries and Classrooms,,"Ering, Timothy Basil",,Idaho,Nampa School District,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Rapp, Adam",33 Snowfish,Banned Pending Investigation,,"Ering, Timothy Basil",,Virginia,Spotsylvania County Public Schools,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Rapp, Adam",33 Snowfish,Banned Pending Investigation,,"Ering, Timothy Basil",,Michigan,Gladwin Community Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction"
"Mosley, Walter",47,Banned Pending Investigation,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,African americans, history, fiction,Children's fiction,Fiction,Freedom,Georgia, fiction,Historical fiction,History,Juvenile Fiction,Liberty,Magic,Magic, fiction,Plantation life,Slavery,Slavery, fiction,United states, history, 1783-1865, fiction,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Mosley, Walter",47,Banned in Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, fiction,African americans, history, fiction,Children's fiction,Fiction,Freedom,Georgia, fiction,Historical fiction,History,Juvenile Fiction,Liberty,Magic,Magic, fiction,Plantation life,Slavery,Slavery, fiction,United states, history, 1783-1865, fiction,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks"
"Adeyoha, Koja","47,000 Beads",Banned in Classrooms,"Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing,Clothing and dress,Gender identity,Juvenile fiction,Lakota Indians,Rites and ceremonies,Sex differences"
"Köster, Thomas",50 Artists You Should Know,Banned Pending Investigation,"Röper, Lars",,,Missouri,Wentzville School District,September 2022,Legislative Action,50 You Should Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art,Artists,Artists, biography,Biography,History,Painters"
"Lowis, Kristina",50 Paintings You Should Know,Banned Pending Investigation,"Pickeral, Tamsin",,,Missouri,Wentzville School District,September 2022,Legislative Action,50 You Should Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appreciation,Art appreciation,Artists, biography,Biography,Painters,Painting"
