Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Mallegg, Kristin","Novels for Students, Vol. 55",Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Novels for Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hill, Melissa Sue","Novels for Students, Vol. 60",Banned Pending Investigation,"Lee, Michelle",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Novels for Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hill, Melissa Sue","Novels for Students, Vol. 61",Banned Pending Investigation,"Lee, Michelle",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Novels for Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Stanley, Deborah A.","Novels for Students, Vol. 9",Banned Pending Investigation,"Milne, Ira Mark",,,Florida,Clay County School District,September 2022,Formal Challenge,Novels for Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hoover, Colleen",November 9,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiction,Fiction, romance, contemporary,Long-distance relationships,New York Times Bestseller,Novelists"
"Hoover, Colleen",November 9,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiction,Fiction, romance, contemporary,Long-distance relationships,New York Times Bestseller,Novelists"
"Hoover, Colleen",November 9,Banned Pending Investigation,,,,Florida,St. John's County School District,January 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiction,Fiction, romance, contemporary,Long-distance relationships,New York Times Bestseller,Novelists"
"White, Kiersten",Now I Rise,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,The Conqueror's Saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Fantasy fiction,Fiction,General fiction (Children's / Teenage),Good and evil,Good and evil, fiction,History,Istanbul (turkey), fiction,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Historical / Asia,JUVENILE FICTION / Historical / Europe,New York Times bestseller,Princesses,Princesses, fiction,Romania, fiction,nyt:young-adult-hardcover=2017-07-16"
"Miedoso, Andrés","Now Museum, Now You Don't (Desmond Cole Ghost Patrol Series)",Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ward, Rachel",Num8ers,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Numb8rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Death,Fiction,Orphan,Sci-fi,Young Adult"
"Park, Linda Sue",Nya's Long Walk: A Step at a Time,Banned Pending Investigation,,"Pinkney, Brian",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Armentrout, Jennifer L.",Obsidian,Banned Pending Investigation,,,,Idaho,Kuna School District,February 2023,Administration,Lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Newman, Lesléa",October Mourning: A Song for Matthew Shepard,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Friendship,Friendship, fiction,High schools,Juvenile fiction,Schools,Schools, fiction,Sexual orientation,collectionID:EanesChallenge"
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Friendship,Friendship, fiction,High schools,Juvenile fiction,Schools,Schools, fiction,Sexual orientation,collectionID:EanesChallenge"
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Friendship,Friendship, fiction,High schools,Juvenile fiction,Schools,Schools, fiction,Sexual orientation,collectionID:EanesChallenge"
"Stone, Nic",Odd One Out,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Friendship,Friendship, fiction,High schools,Juvenile fiction,Schools,Schools, fiction,Sexual orientation,collectionID:EanesChallenge"
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Steinbeck, John",Of Mice and Men,Banned in Classrooms,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American drama (dramatic works by one author),American fiction,American fiction (fictional works by one author),American literature,Amistad entre hombres,Amitié masculine,California, fiction,Children's fiction,Classic Literature,Classical literature,Comic books, strips,Cow-boys,Cowboys,Cowhands,Critique et interprétation,Drama,Drifters,Examinations,Farm life,Ficción,Fiction,Fiction, fantasy, general,Fiction, general,Fiction, psychological,Friendship,Friendship, fiction,Goal (Psychology),Historical fiction,Labor Trilogy,Large type books,Literary,Littérature française,Male friendship,Men,Migrant labor,Of mice and men (Steinbeck, John),Open Library Staff Picks,People with disabilities, fiction,People with mental disabilities,Personnes ayant une déficience intellectuelle,Ranch life,Retrasados mentales,Roman,Roman américain,Romans, nouvelles,Small Town & Rural,Study guides,Vaqueros,Vida ranchera,Vie au ranch,Vie rurale,Voyages and travels, fiction,West (u.s.), fiction,classics,collectionID:bannedbooks,contemporary fiction,literary fiction,open_syllabus_project,psychological fiction,western stories,Étude et enseignement"
"Steinbeck, John",Of Mice and Men,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American drama (dramatic works by one author),American fiction,American fiction (fictional works by one author),American literature,Amistad entre hombres,Amitié masculine,California, fiction,Children's fiction,Classic Literature,Classical literature,Comic books, strips,Cow-boys,Cowboys,Cowhands,Critique et interprétation,Drama,Drifters,Examinations,Farm life,Ficción,Fiction,Fiction, fantasy, general,Fiction, general,Fiction, psychological,Friendship,Friendship, fiction,Goal (Psychology),Historical fiction,Labor Trilogy,Large type books,Literary,Littérature française,Male friendship,Men,Migrant labor,Of mice and men (Steinbeck, John),Open Library Staff Picks,People with disabilities, fiction,People with mental disabilities,Personnes ayant une déficience intellectuelle,Ranch life,Retrasados mentales,Roman,Roman américain,Romans, nouvelles,Small Town & Rural,Study guides,Vaqueros,Vida ranchera,Vie au ranch,Vie rurale,Voyages and travels, fiction,West (u.s.), fiction,classics,collectionID:bannedbooks,contemporary fiction,literary fiction,open_syllabus_project,psychological fiction,western stories,Étude et enseignement"
"Steinbeck, John",Of Mice and Men,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American drama (dramatic works by one author),American fiction,American fiction (fictional works by one author),American literature,Amistad entre hombres,Amitié masculine,California, fiction,Children's fiction,Classic Literature,Classical literature,Comic books, strips,Cow-boys,Cowboys,Cowhands,Critique et interprétation,Drama,Drifters,Examinations,Farm life,Ficción,Fiction,Fiction, fantasy, general,Fiction, general,Fiction, psychological,Friendship,Friendship, fiction,Goal (Psychology),Historical fiction,Labor Trilogy,Large type books,Literary,Littérature française,Male friendship,Men,Migrant labor,Of mice and men (Steinbeck, John),Open Library Staff Picks,People with disabilities, fiction,People with mental disabilities,Personnes ayant une déficience intellectuelle,Ranch life,Retrasados mentales,Roman,Roman américain,Romans, nouvelles,Small Town & Rural,Study guides,Vaqueros,Vida ranchera,Vie au ranch,Vie rurale,Voyages and travels, fiction,West (u.s.), fiction,classics,collectionID:bannedbooks,contemporary fiction,literary fiction,open_syllabus_project,psychological fiction,western stories,Étude et enseignement"
"Vuong, Ocean",On Earth We're Briefly Gorgeous,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult child abuse victims,Children of prostitutes,Coming out (Sexual orientation),Discrimination,FICTION / Coming of Age,FICTION / Cultural Heritage,FICTION / General,FICTION / Literary,Family relationships,Fiction,Fiction, coming of age,Fiction, cultural heritage,LGBTQ novels,Lgbtq fiction,Lgbtq novels,Literature,Mother-son relationship,Mothers and sons,Mothers and sons, fiction,New York Times bestseller,New York Times reviewed,Schizophrenics,Stonewall Book Awards,Vietnamese Americans,nyt:hardcover-fiction=2019-06-23"
"Scott, Ann Herbert",On Mother's Lap,Banned Pending Investigation,,"Coalson, Glo",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Eskimos,Eskimos -- Fiction.,Eskimos, fiction,Fiction,Indians of North America,Indians of north america, fiction,Juvenile fiction,Mother and child,Mother and child -- Fiction.,Mothers, fiction,Picture books"
"Walden, Tillie",On a Sunbeam (On a Sunbeam Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Banned from Libraries and Classrooms,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Thomas, Angie",On the Come Up,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American young adult fiction,African Americans,African americans, fiction,Children's fiction,Fiction,Freedom of speech,Homelessness & Poverty,Juvenile fiction,Music,New York Times bestseller,New York Times reviewed,People & Places,Performing Arts,Prejudice & Racism,Rap (Music),Rap (music), fiction,Rap musicians,Singers,Single-parent families,Social Themes,Teenagers,YOUNG ADULT FICTION,Young adult fiction, people & places, united states, african american & black,Young adult fiction, performing arts, music,Young adult fiction, social themes, homelessness & poverty,music,nyt:young-adult-hardcover=2019-02-24,people & places,performing arts,social themes,young adult fiction"
"Thomas, Angie",On the Come Up,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American,African American young adult fiction,African Americans,African americans, fiction,Children's fiction,Fiction,Freedom of speech,Homelessness & Poverty,Juvenile fiction,Music,New York Times bestseller,New York Times reviewed,People & Places,Performing Arts,Prejudice & Racism,Rap (Music),Rap (music), fiction,Rap musicians,Singers,Single-parent families,Social Themes,Teenagers,YOUNG ADULT FICTION,Young adult fiction, people & places, united states, african american & black,Young adult fiction, performing arts, music,Young adult fiction, social themes, homelessness & poverty,music,nyt:young-adult-hardcover=2019-02-24,people & places,performing arts,social themes,young adult fiction"
"Weyer, Hannah","On the Come Up: A Novel, Based on a True Story",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Mckesson, DeRay",On the Other Side of Freedom: The Case for Hope,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Capetta, Amy Rose",Once & Future,Banned Pending Investigation,Cori McCarthy,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure and adventurers, fiction,Children's fiction,Kings, queens, rulers, etc., fiction,Knights and knighthood, fiction,LGBTQ science fiction & fantasy,Science fiction,Wizards, fiction"
"Bunting, Eve",One Green Apple,Banned in Classrooms,,"Lewin, Ted",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apples,Children's fiction,Fiction,Immigrants,Juvenile fiction,School field trips,Self-confidence,Self-confidence, fiction"
"Bunting, Eve",One Green Apple,Banned Pending Investigation,,"Lewin, Ted",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apples,Children's fiction,Fiction,Immigrants,Juvenile fiction,School field trips,Self-confidence,Self-confidence, fiction"
"Hashimi, Nadia",One Half from the East,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Afghanistan, fiction,Best friends,Bombs,Children of parents with disabilities,Children's fiction,Fiction,Gender identity,Girls,Girls, fiction,Identity (Psychology) in children,Impersonation,Juvenile fiction,Social conditions"
"Young, Cathy",One Hot Second: Stories About Desire,Banned Pending Investigation,"Armstrong, Jennifer; Wittlinger, Ellen; Woodson, Jacqueline; Dessen, Sarah; Donoghue, Emma; Garden, Nancy; Johnson, Angela; Martinez, Victor; Mazer, Norma Fox; Vail, Rachel; Wallace, Rich",,,Texas,Fredericksburg Independent School District,March 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Barakiva, Michael",One Man Guy,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armenian Americans,Children's fiction,Coming out (Sexual orientation),Fiction,Gays,Homosexuality, fiction,Juvenile fiction,Love,Love, fiction,collectionID:EanesChallenge,collectionID:bannedbooks"
"Barakiva, Michael",One Man Guy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armenian Americans,Children's fiction,Coming out (Sexual orientation),Fiction,Gays,Homosexuality, fiction,Juvenile fiction,Love,Love, fiction,collectionID:EanesChallenge,collectionID:bannedbooks"
"Anderson, Carol","One Person, No Vote (YA edition): How Not All Voters Are Treated Equally",Banned Pending Investigation,"Bolden, Tonya",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hitchcock, Shannon",One True Way,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bereavement,Children's fiction,Families,Family life, fiction,Family, fiction,Friendship,Friendship, fiction,Grief, fiction,Identity (Psychology),Identity, fiction,Juvenile fiction,Lesbians,Mothers and daughters,Mothers and daughters, fiction,North carolina, fiction,Social life and customs,Women, fiction"
"Sones, Sonya",One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Actors,Actors and actresses,Actors and actresses, fiction,Children's fiction,Father-daughter relationship,Fathers and daughters,Fathers and daughters, fiction,Fiction,Friendship,Grief,Grief, fiction,Homosexuality,Homosexuality, fiction,Household Moving,Interpersonal relations,Interpersonal relations, fiction,Juvenile fiction,Los angeles (calif.), fiction,Moving,Moving, Household,Moving, household, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 9"
"Sones, Sonya",One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Actors,Actors and actresses,Actors and actresses, fiction,Children's fiction,Father-daughter relationship,Fathers and daughters,Fathers and daughters, fiction,Fiction,Friendship,Grief,Grief, fiction,Homosexuality,Homosexuality, fiction,Household Moving,Interpersonal relations,Interpersonal relations, fiction,Juvenile fiction,Los angeles (calif.), fiction,Moving,Moving, Household,Moving, household, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 9"
"McManus, Karen M.",One of Us Is Lying,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,One of Us Is Lying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Murder, fiction,Mystery and detective stories,Schools, fiction"
"McManus, Karen M.",One of Us is Next,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,One of Us Is Lying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,New York Times bestseller,Young adult fiction, mysteries & detective stories,Young adult fiction, school & education, general,Young adult fiction, social themes, friendship,Young adult fiction, thrillers & suspense,Young adult fiction, thrillers & suspense, general,nyt:young-adult-hardcover=2020-01-26"
"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Grimes, Nikki",Ordinary Hazards,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American women authors,African American women poets,American Poets,Authorship,Biography,Children of the mentally ill,Children's fiction,Creative writing,Ex-foster children,Juvenile literature,Poetry,Therapeutic use,age:max:17,age:min:12,award:Sibert_award,grade:max:9,grade:min:7,lexile:840,lexile_range:801-900"
"Grimes, Nikki",Ordinary Hazards,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American women authors,African American women poets,American Poets,Authorship,Biography,Children of the mentally ill,Children's fiction,Creative writing,Ex-foster children,Juvenile literature,Poetry,Therapeutic use,age:max:17,age:min:12,award:Sibert_award,grade:max:9,grade:min:7,lexile:840,lexile_range:801-900"
"Grimes, Nikki",Ordinary Hazards,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American women authors,African American women poets,American Poets,Authorship,Biography,Children of the mentally ill,Children's fiction,Creative writing,Ex-foster children,Juvenile literature,Poetry,Therapeutic use,age:max:17,age:min:12,award:Sibert_award,grade:max:9,grade:min:7,lexile:840,lexile_range:801-900"
"Cronn-Mills, Kirstin",Original Fake,Banned from Libraries,,"Johnson, E. Eero",,Texas,Frisco Independent School District,November 2022,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artists,Artists, fiction,Cartoons and comics,Children's fiction,Families,Family life, fiction,Fiction,JUVENILE FICTION / Art & Architecture,JUVENILE FICTION / Comics & Graphic Novels / General,JUVENILE FICTION / Family / Siblings,Juvenile fiction,Minnesota, fiction,Street art,Young adult fiction"
"Wyeth, Sharon Dennis",Orphea Proud,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artists,Artists, fiction,Children's fiction,Entertainers,Family life,Fiction,Fiction, general,Homosexuality, fiction,Lesbians,Lesbians, fiction,New york (n.y.), fiction,Poetry,Racially mixed people"
"Atwood, Margaret",Oryx and Crake,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,October 2022,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Missouri,Willard Public Schools,October 2022,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Utah,Canyons School District,AY 2022-2023,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries,,,,Georgia,Forsyth County Schools,June 2023,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,November 2022,Administration,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,Utah,Davis School District,November 2022,Formal Challenge,MaddAddam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"British and irish fiction (fictional works by one author),Canadian fiction (fictional works by one author),Fiction, fantasy, general,Fiction, romance, general,Fiction, science fiction, general,Friendship, fiction,Literary Fiction,Long Now Manual for Civilization,Male friendship,Man-woman relationships, fiction,New York Times reviewed,New york (state), fiction,Open Syllabus Project,Triangles (Interpersonal relations),fantasy,fiction,friendship,genetic engineering,relationships,romance,science fiction,series:MaddAddam"
