Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,"Comics & graphic novels, manga, general",Comics & graphic novels, manga, general,,,,"[38.3566, -92.458]"
"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,Banned from Libraries,,,,Utah,Washington County School District,February 2023,Administration,Unknown,Unknown,,,,,,"[39.32, -111.0937]"
"Brynie, Faith Hickman","101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,"Children's questions and answers,Questions and answers,Sex,Sex instruction,Sex instruction for children and youth,Sex instruction for youth,Sex, juvenile literature,Sexual behavior,Youth",Children's questions and answers,Questions and answers,Sex,Sex instruction,Sex instruction for children and youth,"Sex instruction for youth, juvenile literature,Sexual behavior,Youth","[31.9686, -99.9018]"
"King, Stephen",11/22/63: A Novel,Banned from Libraries and Classrooms,,,,Virginia,Madison County Public Schools,January 2023,Administration,Unknown,Unknown,,,,,,"[37.4316, -78.6569]"
"Heine, Florian",13 Art Inventions Children Show Know,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Deedy, Carmen Agra",14 Cows for America,Banned Pending Investigation,"Naiyomah, Wilson Kimeli","Gonzalez, Thomas",,Florida,Duval County Public Schools,January 2022,Administrator,"Attentats du 11 septembre 2001, États-Unis,Biographies,Biography,Cadeaux,Cattle,Cows,Cows, juvenile literature,Gifts,International relations,Juvenile literature,Kenya,Kenya, juvenile literature,Maasai (African people),Masai (African people),Masai (african people),Massaï (Peuple d'Afrique),New York Times bestseller,New York Times reviewed,Ouvrages pour la jeunesse,Relations,September 11 Terrorist Attacks, 2001,September 11 terrorist attacks, 2001,September 11 terrorist attacks, 2001, juvenile literature,United states, foreign relations,Vaches,nyt:picture-books=2009-11-29",Attentats du 11 septembre 2001, États-Unis,Biographies,Biography,Cadeaux,"Cattle,Cows, juvenile literature,Gifts,International relations,Juvenile literature,Kenya,Maasai (African people),Masai (African people),Masai (african people),Massaï (Peuple d'Afrique),New York Times bestseller,New York Times reviewed,Ouvrages pour la jeunesse,Relations,September 11 Terrorist Attacks, 2001,September 11 terrorist attacks,United states, foreign relations,Vaches,nyt:picture-books=2009-11-29","[27.9944, -81.7603]"
"Levithan, David",19 Love Songs,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Children's fiction,Young adult fiction, holidays & celebrations,Young adult fiction, romance, lgbtq+,Young adult fiction, short stories, collections & anthologies",Children's fiction,Young adult fiction, holidays & celebrations, romance, lgbtq+," short stories, collections & anthologies","[27.9944, -81.7603]"
"Levithan, David",19 Love Songs,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"Children's fiction,Young adult fiction, holidays & celebrations,Young adult fiction, romance, lgbtq+,Young adult fiction, short stories, collections & anthologies",Children's fiction,Young adult fiction, holidays & celebrations, romance, lgbtq+," short stories, collections & anthologies","[35.5175, -86.5804]"
"Orwell, George",1984,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,"British and irish fiction (fictional works by one author),Dystopias,English language,English language, juvenile literature,Fiction,Fiction, dystopian,Fiction, political,Fiction, science fiction, general,High interest-low vocabulary books,Lectures et morceaux choisis,London (england), fiction,Readers,Readers for new literates,Textbooks for foreign speakers,Totalitarianism,Totalitarianism -- Fiction",British and irish fiction (fictional works by one author),Dystopias,English language, juvenile literature,Fiction," dystopian, political, science fiction, general,High interest-low vocabulary books,Lectures et morceaux choisis,London (england), fiction,Readers,Readers for new literates,Textbooks for foreign speakers,Totalitarianism,Totalitarianism -- Fiction","[41.2033, -77.1945]"
