Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Utah,Alpine School District,November 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[39.32, -111.0937]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Utah,Granite School District,December 2022,Formal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[39.32, -111.0937]"
"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[44.5, -89.5]"
"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Florida,Palm Beach County School District,April 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[27.9944, -81.7603]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Colorado,Cherry Creek School District,September 2022,Unclear,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[39.5501, -105.7821]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Florida,Clay County School District,September 2022,Formal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[27.9944, -81.7603]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,February 2023,Formal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[27.9944, -81.7603]"
"Curato, Mike",Flamer,Banned from Libraries and Classrooms,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[27.9944, -81.7603]"
"Curato, Mike",Flamer,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,January 2023,Administration,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[27.9944, -81.7603]"
"Curato, Mike",Flamer,Banned Pending Investigation,,,,Michigan,Dearborn Public Schools,September 2022,Unclear,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[44.3467, -85.4102]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Missouri,Independence School District,October 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[38.3566, -92.458]"
"Curato, Mike",Flamer,Banned in Libraries and Classrooms,,,,Texas,Klein Independent School District,May 2022,Administrator,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned from Libraries and Classrooms,,,,Texas,Fort Worth Independent School District,June 2023,Informal Challenge,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[31.9686, -99.9018]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Missouri,North Kansas City Schools,September 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[38.3566, -92.458]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Missouri,Raytown Quality Schools,September 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[38.3566, -92.458]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Missouri,Mehlville School District,August 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[38.3566, -92.458]"
"Curato, Mike",Flamer,Banned from Libraries,,,,Missouri,Webster Groves School District,September 2022,Legislative Action,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique",Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,"Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique","[38.3566, -92.458]"
